※あいさつや、関係ない話はばっさりカットしています
[Sat Dec 12 21:31:05 2009] #mikunopop: s_o_l           : あらためて
[Sat Dec 12 23:15:28 2009] #mikunopop: s_o_l           : 僕は自粛しますね。Ｐと生主活動はあえて分けたいんで。ただ期間的にどれくらい明ければよいのか分からない感じですね。
[Sat Dec 12 23:16:27 2009] #mikunopop: s_o_l           : というか、リク来なきゃ自分のはかけないし、時間的にきつい場合はほかの人の曲優先しますね。
[Sat Dec 12 23:17:43 2009] #mikunopop: A_ster          : Pやってる主さんはみんなそんな感じですよね
[Sat Dec 12 23:18:50 2009] #mikunopop: s_o_l           : やっぱ、面白い曲を探してきて、どうだ！って見せるのが生主の快感でｗ俺が俺がってのはダサいですからｗ
[Sat Dec 12 23:19:30 2009] #mikunopop: boro_           : ミクノみたいな多人数が主やるコミュで自曲ばかり流す様になると印象良くないですよねｗ
[Sat Dec 12 23:20:21 2009] #mikunopop: boro_           : 自分のコミュでならばどんどん流すと良いと思いますけど。ってPじゃ無い僕が言うのもなんですがw
[Sat Dec 12 23:20:24 2009] #mikunopop: s_o_l           : やっぱカッコ悪いですよ。イベント前にはこっそり自分特集やるかもしれませんがｗｗ
[Sat Dec 12 23:20:32 2009] #mikunopop: mashita         : www
[Sat Dec 12 23:21:08 2009] #mikunopop: higumon0        : 同じｐばかりとか同じ曲ばかりってのは、バランス悪い気がします
[Sat Dec 12 23:22:33 2009] #mikunopop: saihane         : そのへんは枠の流れとかでしょうか・・　現状の２回流しなんかもそうですけどね～
[Sat Dec 12 23:23:08 2009] #mikunopop: s_o_l           : ２回流しは自貼りしたほうとしては拷問に近いんですけどねｗ
[Sat Dec 12 23:23:12 2009] #mikunopop: saihane         : 曲を紹介しあうコミュだから、自貼り２回流しすると、１曲よぶんに知る機会を失うという。
[Sat Dec 12 23:23:34 2009] #mikunopop: saihane         : ま、これは別の議論。
[Sat Dec 12 23:23:55 2009] #mikunopop: A_ster          : 良くも悪くもミクノは主の裁量が大きいからある程度コントロールできるでしょうけどね
[Sat Dec 12 23:24:39 2009] #mikunopop: saihane         : さて、日が変わる前にはとりあえずの方向性を出せればと思うのですが～
[Sat Dec 12 23:25:10 2009] #mikunopop: saihane         : （仕事しないとヤバイのが理由だなんて言えない・・）
[Sat Dec 12 23:25:21 2009] #mikunopop: mashita         : 規制撤廃でいいんじゃないの？
[Sat Dec 12 23:25:30 2009] #mikunopop: kinuko          : （もう言ってるし・・・）
[Sat Dec 12 23:25:34 2009] #mikunopop: saihane         : 相変わらず直球ストレートな真下さんｗ
[Sat Dec 12 23:25:58 2009] #mikunopop: kinuko          : 撤廃でいいんですが、それからどうするかが問題なわけで・・・
[Sat Dec 12 23:26:28 2009] #mikunopop: boro_           : まずは撤廃するかしないかで結論出しましょうか
[Sat Dec 12 23:26:36 2009] #mikunopop: s_o_l           : とりあえずランキング対策云々っていうテンプレは変えてもいいですかね？
[Sat Dec 12 23:26:44 2009] #mikunopop: saihane         : ここにいらっしゃらない関係者も多いわけで、みなさんの許しがあれば、今日のログをまとめサイトに上げたいと思っています。
[Sat Dec 12 23:27:01 2009] #mikunopop: mashita         : 賛成
[Sat Dec 12 23:27:05 2009] #mikunopop: A_ster          : おｋです
[Sat Dec 12 23:27:05 2009] #mikunopop: k-sk            : 是非
[Sat Dec 12 23:27:17 2009] #mikunopop: boro_           : 了解です。
[Sat Dec 12 23:27:25 2009] #mikunopop: s_o_l           : お願いします
[Sat Dec 12 23:27:26 2009] #mikunopop: saihane         : 今日おわったら、続きの議論は、したらばの総合スレに移したほうがいいかなと思います。
[Sat Dec 12 23:27:44 2009] #mikunopop: mashita         : うんうん
[Sat Dec 12 23:28:16 2009] #mikunopop: saihane         : なので、議論のたたき台を出せるだけだすのが今日の残りの役割かなぁとか
[Sat Dec 12 23:28:24 2009] #mikunopop: s_o_l           : とりあえず、クローズドなところで一回もんだほうがいいと思ったんでここにあげました。
[Sat Dec 12 23:28:43 2009] #mikunopop: A_ster          : オープンでこれだけスムーズな議論ができればいいんですけどね～
[Sat Dec 12 23:28:55 2009] #mikunopop: s_o_l           : とりあえず提起した自分としてはすべて了解しました。
[Sat Dec 12 23:28:56 2009] #mikunopop: mashita         : 結局は規制維持するか撤廃するかの２つに１つなワケじゃないの？
[Sat Dec 12 23:29:08 2009] #mikunopop: saihane         : 今の人数だって議論するには限界かと・・ううむ
[Sat Dec 12 23:29:14 2009] #mikunopop: Mint_           : こんばわ、なにやら議論中のようで・・・
[Sat Dec 12 23:29:24 2009] #mikunopop: saihane         : ２つに１つかどうか、それも議論しなくちゃですね
[Sat Dec 12 23:29:40 2009] #mikunopop: boro_           : 撤廃する際のエクスキューズが一番難しい所なんでしょうけどね
[Sat Dec 12 23:30:20 2009] #mikunopop: saihane         : 完全撤廃か、条件付き撤廃（＝運用に制限をつける）か、現状維持か
[Sat Dec 12 23:30:32 2009] #mikunopop: boro_           : エクスキューズは表現が良くないですね＾＾；
[Sat Dec 12 23:30:38 2009] #mikunopop: saihane         : 条件を付けるべきなら、その理由と具体的な手法の議論
[Sat Dec 12 23:30:44 2009] #mikunopop: sumiwo_away     : ぼか生は少し様子見になるんですかね
[Sat Dec 12 23:30:44 2009] #mikunopop: s_o_l           : ま、世界の新着とランキング変更ってことでよいかと思うのですが…
[Sat Dec 12 23:31:21 2009] #mikunopop: higumon0        : 個人的にはkotacさんあたりの意見を聴いてみたいきがす
[Sat Dec 12 23:31:23 2009] #mikunopop: saihane         : 条件というのは、たとえば「解禁日を主ごとに決める」とかそういうのを想定しています
[Sat Dec 12 23:32:17 2009] #mikunopop: saihane         : あとは１日にかける回数を制限するとか、そういう制限？ですね
[Sat Dec 12 23:32:27 2009] #mikunopop: boro_           : ですね。
[Sat Dec 12 23:32:42 2009] #mikunopop: mashita         : 無条件撤廃に1票
[Sat Dec 12 23:33:21 2009] #mikunopop: mashita         : 現状で1日にかける回数って制限してますか？
[Sat Dec 12 23:33:27 2009] #mikunopop: saihane         : まず、「条件」を付したほうがいい議題があるかどうかですか・・
[Sat Dec 12 23:33:36 2009] #mikunopop: s_o_l           : あとの議論ははオープンな場でいいと思います。
[Sat Dec 12 23:34:24 2009] #mikunopop: A_ster          : 暫定ルールではやりたくないので一応の結論は出したいですｗ
[Sat Dec 12 23:34:34 2009] #mikunopop: saihane         : 忘れちゃう前に材料だけもしあれば出しておければいいかなと。
[Sat Dec 12 23:35:04 2009] #mikunopop: kinuko          : 材料？
[Sat Dec 12 23:35:16 2009] #mikunopop: saihane         : でも今日の段階では、「審議継続中」にせざるを得ない感じががが
[Sat Dec 12 23:35:22 2009] #mikunopop: boro_           : ｗ
[Sat Dec 12 23:35:26 2009] #mikunopop: saihane         : 「条件」に該当するもの、ですね＞材料
[Sat Dec 12 23:35:27 2009] #mikunopop: Q-iron          : 前回話しあったなかでは　kotacさんは廃止論者　強い意志はなかったけどね
[Sat Dec 12 23:35:51 2009] #mikunopop: Q-iron          : ２時間の話でケリつく問題ではないからね
[Sat Dec 12 23:36:00 2009] #mikunopop: kinuko          : 今日すぐはまとまりそうにないですね・・・
[Sat Dec 12 23:36:19 2009] #mikunopop: boro_           : 前提として、条件を設ける場合はツールを必要としない条件ということで。
[Sat Dec 12 23:36:54 2009] #mikunopop: s_o_l           : とりあえずテンプレのランキング対策云々ははずして、主さんの判断でやるっていうのでは？？
[Sat Dec 12 23:37:32 2009] #mikunopop: mashita         : そこは今決めておきたい気がする
[Sat Dec 12 23:37:55 2009] #mikunopop: Q-iron          : 今の７日間という縛りはツールには優しい　１日何回流したとかのシステムは話は別
[Sat Dec 12 23:38:13 2009] #mikunopop: saihane         : 「主さんの判断で」というのは、どの部分でしょう？　新着制限の有効無効でしょうか
[Sat Dec 12 23:38:15 2009] #mikunopop: mashita         : 前の主さんの時は良かったのにアンタはダメなんかい！って事に・・・
[Sat Dec 12 23:38:29 2009] #mikunopop: Q-iron          : あーそれ今のミクライブｗ
[Sat Dec 12 23:38:38 2009] #mikunopop: saihane         : そう、ミクノでできるだけ一貫していたほうがいい希ガス
[Sat Dec 12 23:39:04 2009] #mikunopop: s_o_l           : 提起したのは自分ですが…まだＰ名がついてないころの議論が出てくるとは…ちょっと困ってしまいました…
[Sat Dec 12 23:39:39 2009] #mikunopop: Q-iron          : 去年の１２月末ごろから話してたかな？　このテーマ
[Sat Dec 12 23:39:43 2009] #mikunopop: boro_           : 生放送の基本方針ですからね・・
[Sat Dec 12 23:41:07 2009] #mikunopop: Q-iron          : ミクライブ～ぼか生につながる生主のメンツでね
[Sat Dec 12 23:42:04 2009] #mikunopop: saihane         : かといって、テンプレに「現在審議中です」と書いても仕方ない気も・・
[Sat Dec 12 23:42:23 2009] #mikunopop: Q-iron          : あの場所は　基本的に　法、ニコのルール、生主、Pを守る方針で話してたのでガチガチのルールが出来た
[Sat Dec 12 23:44:59 2009] #mikunopop: mashita         : 要は「運用の制限」って事がネックになってるわけでしょ？その制限をどうするか？によって纏まる話だと思うんだけど・・・
[Sat Dec 12 23:45:35 2009] #mikunopop: boro_           : 新ルール運用開始の予定日を決めちゃって、それまでは今のまま続けるっていうのが一番ですね。
[Sat Dec 12 23:46:00 2009] #mikunopop: boro_           : で、運用方法は予定日までに決める場を設けると。
[Sat Dec 12 23:46:16 2009] #mikunopop: Q-iron          : 新着の運用が安定になって、ボカラン　日刊月刊の動向が定まってから動いても遅くはないんじゃない？
[Sat Dec 12 23:46:49 2009] #mikunopop: boro_           : 日刊は対応したんですよね？
[Sat Dec 12 23:47:00 2009] #mikunopop: boro_           : そういえば他のランキングは？
[Sat Dec 12 23:47:03 2009] #mikunopop: s_o_l           : 日刊は変わりました
[Sat Dec 12 23:47:20 2009] #mikunopop: s_o_l           : 他はあまり縁がないんでみてませんｗ
[Sat Dec 12 23:48:46 2009] #mikunopop: A_ster          : もうちょいしたら一旦抜けます
[Sat Dec 12 23:49:36 2009] #mikunopop: boro_           : というかそろそろ今日の議論はしめたいですよねｗ
[Sat Dec 12 23:49:47 2009] #mikunopop: mega-ne         : とりあえず放送は現状のまま、議論を別でやるって幹事ですかね
[Sat Dec 12 23:50:02 2009] #mikunopop: s_o_l           : そうですねboroさんと僕、夕方からいましたからねｗ
[Sat Dec 12 23:50:22 2009] #mikunopop: boro_           : おかげで楽しい話も聴けましたｗ

以上
